"Site, from 1 to 5 with U and D indicating Upstream and Downstream of dam respectively",,,,,,,,
"Reach, upstream or downstream the dam",,,,,,,,
Sample.Date as MM/DD?YYYY,,,,,,,,
parameter is 'netMIN' for net mineralization and 'netNIT' for nitrification ,,,,,,,,
estimate is the slope of N accumulation during the 14day incubation; mg-N/kg-sediment * day,,,,,,,,
std.error of the estimate,,,,,,,,
statistic (t-student) and p.value of the estimate are alos provided,,,,,,,,
parameter,Sample.Date,Stream,Site,Reach,estimate,std.error,statistic,p.value
netMIN,10/18/2019,CHIQUES,CHIQUES_S1U,Upstream,0.233,0.034,6.844,0.092
netMIN,10/18/2019,CHIQUES,CHIQUES_S2U,Upstream,0,0.252,0.001,0.999
netMIN,10/18/2019,CHIQUES,CHIQUES_S3U,Upstream,-0.579,0.457,-1.267,0.425
netMIN,10/18/2019,CHIQUES,CHIQUES_S4U,Upstream,-0.702,0.574,-1.223,0.436
netMIN,10/18/2019,CHIQUES,CHIQUES_S5U,Upstream,0.088,0.121,0.724,0.601
netMIN,10/25/2019,CHRISTINA,COOCH_S1D,Downstream,-0.913,0.922,-0.991,0.503
netMIN,10/25/2019,CHRISTINA,COOCH_S1U,Upstream,-0.572,0.281,-2.034,0.291
netMIN,10/25/2019,CHRISTINA,COOCH_S2D,Downstream,-0.686,1.389,-0.494,0.708
netMIN,10/25/2019,CHRISTINA,COOCH_S2U,Upstream,0.074,0.147,0.503,0.703
netMIN,10/25/2019,CHRISTINA,COOCH_S3D,Downstream,-0.77,1.395,-0.552,0.679
netMIN,10/25/2019,CHRISTINA,COOCH_S3U,Upstream,-0.303,0.265,-1.142,0.458
netMIN,10/25/2019,CHRISTINA,COOCH_S4D,Downstream,-1.207,2.363,-0.511,0.699
netMIN,10/25/2019,CHRISTINA,COOCH_S4U,Upstream,-0.628,0.617,-1.017,0.495
netMIN,10/25/2019,CHRISTINA,COOCH_S5D,Downstream,-0.271,0.23,-1.178,0.448
netMIN,10/25/2019,CHRISTINA,COOCH_S5U,Upstream,-0.376,0.223,-1.69,0.34
netMIN,12/11/2019,CHRISTINA,COOCH_S1D,Downstream,-0.083,0.034,-2.44,0.248
netMIN,12/11/2019,CHRISTINA,COOCH_S1U,Upstream,-0.762,3.458,-0.22,0.862
netMIN,12/11/2019,CHRISTINA,COOCH_S2D,Downstream,-0.79,0.985,-0.802,0.57
netMIN,12/11/2019,CHRISTINA,COOCH_S2U,Upstream,-0.114,0.376,-0.305,0.812
netMIN,12/11/2019,CHRISTINA,COOCH_S3D,Downstream,0.263,1.152,0.228,0.857
netMIN,12/11/2019,CHRISTINA,COOCH_S3U,Upstream,-0.757,0.184,-4.115,0.152
netMIN,12/11/2019,CHRISTINA,COOCH_S4D,Downstream,-1.174,0.291,-4.03,0.155
netMIN,12/11/2019,CHRISTINA,COOCH_S4U,Upstream,-0.513,0.129,-3.989,0.156
netMIN,12/11/2019,CHRISTINA,COOCH_S5D,Downstream,0.094,0.38,0.249,0.845
netMIN,12/11/2019,CHRISTINA,COOCH_S5U,Upstream,-0.265,0.554,-0.479,0.716
